Código_aeropuerto,Nombre_aeropuerto
EJC,Aeropuerto de Yacopí
SKAC,Aeropuerto Acandí
SKAD,Aeropuerto Alcides Fernández (Acandí)
SKAG,Aeropuerto Las Flores (Aguachica)
SKAM,Aeropuerto Ambalema
SKAP,Aeropuerto Arauca (Luis F. Gómez Niño)
SKAR,Aeropuerto El Edén (Armenia)
SKAS,Aeropuerto Tres de Mayo (Puerto Asís)
SKBC,Aeropuerto El Caraño (Quibdó) / Bahía Cupica
SKBG,Aeropuerto Palonegro (Bucaramanga)
SKBM,Aeropuerto Yariguíes (Barrancabermeja)
SKBN,Aeropuerto Barrancominas
SKBO,Aeropuerto Internacional El Dorado (Bogotá)
SKBQ,Aeropuerto Internacional Ernesto Cortissoz (Barranquilla)
SKBS,Aeropuerto José Celestino Mutis (Bahía Solano)
SKBU,Aeropuerto Gerardo Tobar López (Buenaventura)
SKCC,Aeropuerto Alfonso López Pumarejo (Cúcuta)
SKCD,Aeropuerto Mandinga (Condoto)
SKCG,Aeropuerto Internacional Rafael Núñez (Cartagena)
SKCI,Aeropuerto Capurganá
SKCL,Aeropuerto Alfonso Bonilla Aragón (Cali)
SKCM,Aeropuerto La Chorrera
SKCN,Aeropuerto Camilo Daza / Cañaveral
SKCO,Aeropuerto Los Garzones (Montería)
SKCR,Aeropuerto Carurú
SKCU,Aeropuerto Juan H. White (Caucasia)
SKCV,Aeropuerto Clemente (Coveñas)
SKCZ,Aeropuerto Las Brujas (Corozal)
SKEB,Aeropuerto El Bagre
SKEJ,Aeropuerto Yariguíes / El Yopal
SKFL,Aeropuerto Gustavo Artunduaga Paredes (Florencia)
SKFP,Aeropuerto La Macarena
SKGB,Aeropuerto El Bordo (Patía)
SKGI,Aeropuerto Mariquita (Santiago Vila)
SKGO,Aeropuerto Santa Ana (Cartago)
SKGP,Aeropuerto Juan Casiano (Guapi)
SKGY,Aeropuerto Guaymaral (Bogotá)
SKGZ,Aeropuerto Las Margaritas (El Retorno)
SKHA,Aeropuerto Hacaritama (Aguaclara)
SKHL,Aeropuerto Helicoidal
SKHZ,Aeropuerto Hato Corozal
SKIB,Aeropuerto El Torito (Ibagué)
SKIM,Aeropuerto Santa Marta / Isla de Mompós
SKIP,Aeropuerto San Luis (Ipiales)
SKIR,Aeropuerto Obando (Puerto Inírida)
SKJC,Aeropuerto Jorge Isaacs (La Mina)
SKLC,Aeropuerto Antonio Roldán Betancourt (Carepa)
SKLG,Aeropuerto La Uribe
SKLM,Aeropuerto Jorge Isaacs (La Mina / Maicao)
SKLP,Aeropuerto La Pedrera
SKLR,Aeropuerto Las Lomas (Saravena)
SKLT,Aeropuerto Leticia (Alfredo Vásquez Cobo)
SKMA,Aeropuerto El Yopal / Maní
SKMB,Aeropuerto Mamití (El Dovio)
SKMD,Aeropuerto Enrique Olaya Herrera (Medellín)
SKME,Aeropuerto La Palmita (Medina)
SKMF,Aeropuerto Los Colonizadores (Miraflores)
SKMG,Aeropuerto Baracoa (Magangué)
SKML,Aeropuerto Montelíbano
SKMO,Aeropuerto Alberto Aldana (Mocoa)
SKMP,Aeropuerto Felipe Trujillo Álvarez (Mompós)
SKMR,Aeropuerto Los Garzones (Montería)
SKMU,Aeropuerto Fabio A. León Bentley (Mitú)
SKMZ,Aeropuerto Santa Bárbara (Manizales / La Nubia)
SKNA,Aeropuerto Los Naranjos (El Carmen de Atrato)
SKNC,Aeropuerto Aracuara
SKNQ,Aeropuerto Antonio Nariño (Pasto / Chachagüí)
SKNV,Aeropuerto Benito Salas (Neiva)
SKOC,Aeropuerto Aguas Claras (Ocaña)
SKOE,Aeropuerto Orocué
SKOT,Aeropuerto Otu
SKPA,Aeropuerto Villanueva
SKPB,Aeropuerto Puerto Boyacá
SKPC,Aeropuerto Puerto Carreño (Germán Olano)
SKPD,Aeropuerto Obando / Puerto Inírida
SKPE,Aeropuerto Internacional Matecaña (Pereira)
SKPI,Aeropuerto Pitalito (Contador)
SKPJ,Aeropuerto Paz de Ariporo
SKPP,Aeropuerto Guillermo León Valencia (Popayán)
SKPQ,Aeropuerto Providencia (El Embrujo)
SKPR,Aeropuerto La Primavera
SKPS,Aeropuerto Antonio Nariño (Pasto)
SKPV,Aeropuerto El Embrujo (Providencia)
SKPX,Aeropuerto Pizarro
SKPZ,Aeropuerto Paz de Ariporo
SKQU,Aeropuerto El Quince
SKRA,Aeropuerto Riohacha (Almirante Padilla)
SKRD,Aeropuerto Reyes Murillo (Nuquí)
SKRG,Aeropuerto Internacional José María Córdova (Rionegro/Medellín)
SKRH,Aeropuerto Almirante Padilla (Riohacha)
SKSA,Aeropuerto Los Colonizadores (San José del Guaviare)
SKSG,Aeropuerto San Gil
SKSJ,Aeropuerto Jorge E. González Torres (San José del Guaviare)
SKSL,Aeropuerto Santa Cruz de la Colina (Saravena)
SKSM,Aeropuerto Simón Bolívar (Santa Marta)
SKSP,Aeropuerto San Pedro de Urabá
SKSR,Aeropuerto El Doncello (San Vicente del Caguán)
SKSV,Aeropuerto Eduardo Falla Solano (San Vicente del Caguán)
SKTB,Aeropuerto Tibú
SKTI,Aeropuerto Tame (Gabriel Vargas Santos)
SKTJ,Aeropuerto Génova (Tejo)
SKTL,Aeropuerto Gustavo Rojas Pinilla (San Andrés)
SKTM,Aeropuerto Tolemaida (Nilo)
SKTQ,Aeropuerto Tarapacá
SKTR,Aeropuerto Tibirita
SKTU,Aeropuerto El Alcaraván (Yopal)
SKUA,Aeropuerto Capurganá / El Acuario
SKUB,Aeropuerto El Totumo (Uraba)
SKUC,Aeropuerto Santiago Pérez (Arauca)
SKUI,Aeropuerto Luis Arturo Rodríguez (Quibdó)
SKUL,Aeropuerto Urrao
SKUM,Aeropuerto San José de Uchupayaco
SKUR,Aeropuerto Aguarico (Uribia)
SKUW,Aeropuerto El Porvenir (Bahía Solano)
SKVF,Aeropuerto Villavicencio (Vanguardia)
SKVG,Aeropuerto Villa Garzón
SKVN,Aeropuerto El Yopal / Villanueva
SKVP,Aeropuerto Valledupar (Alfonso López Pumarejo)
SKVV,Aeropuerto Vanguardia (Villavicencio)
SKYP,Aeropuerto El Alcaraván (Yopal)
SKZI,Aeropuerto Zapatoca
SQLY,Aeropuerto Los Yopos
SQQK,Aeropuerto Kukurital
SQZJ,Aeropuerto Zárate (Perú/frontera)
SQZN,Aeropuerto Zona Norte
SKBZ,Aeropuerto Bosconia
SKCB,Aeropuerto Casuarito
SKEF,Aeropuerto Medellín / Envigado
SKJU,Aeropuerto El Juanchaco
SKOP,Aeropuerto Oporapa
SKUV,Aeropuerto Uribe (La Uribe)
SKVH,Aeropuerto Vistahermosa
SQGJ,Aeropuerto Guajará (frontera)
SQQC,Aeropuerto Quebrada Chiquita
SKFG,Aeropuerto Fonseca (La Guajira)
SKGX,Aeropuerto La Gloria
SKIG,Aeropuerto Isnos / San Agustín (La Macarena)
SKVS,Aeropuerto Valledupar (sur)
SKEH,Aeropuerto El Hatillo
SKFO,Aeropuerto Fonseca
SKMJ,Aeropuerto Marandúa
SKQR,Aeropuerto Quiroga
SKSO,Aeropuerto Sogamoso (Alberto Lleras Camargo)
SQCZ,Aeropuerto Cumaribo zona
SQKS,Aeropuerto San Marcos
SQYF,Aeropuerto Yavaraté (frontera)
SKAT,Aeropuerto Atalaya
SKFF,Aeropuerto Fortul
SKFU,Aeropuerto Fuente de Oro
SKLA,Aeropuerto La Anunciación
SKLB,Aeropuerto La Bolsa
SKPG,Aeropuerto Planadas (La Guajira)
SKPL,Aeropuerto Plato (Magdalena)
SQDB,Aeropuerto Dos Bocas (frontera)
SQYT,Aeropuerto Yucao (Vichada)
AFIL,Aeropuerto Afiliados (código especial)
SQFZ,Aeropuerto Fazenda (frontera)
SQGU,Aeropuerto Guasipati (zona sur)
SQZP,Aeropuerto Zapote
SKDD,Aeropuerto Dadá
SKFV,Aeropuerto La Florida (Viotá)
SKHC,Aeropuerto Hato Corozal
SQMR,Aeropuerto Maracaibo región
SQNP,Aeropuerto Nuevo Pindo
SQRN,Aeropuerto Rincón (frontera)
SQSA,Aeropuerto Santa Ana (Ecuador-frontera)
SQIE,Aeropuerto Iexpe
SQNM,Aeropuerto Neima
SQPI,Aeropuerto Puerto Iris
SKAI,Aeropuerto San Andrés Isla (aux)
SKSD,Aeropuerto Saladoblanco
SKTK,Aeropuerto Talaigua Nuevo
SKXE,Aeropuerto San Felipe
SQET,Aeropuerto El Triunfo (Ecuador-frontera)
SKLQ,Aeropuerto Las Quillas
SKOR,Aeropuerto Orocué (alterno)
SKRS,Aeropuerto Ríosucio
SKTD,Aeropuerto Tierra Adentro
SKCA,Aeropuerto Cartago (alterno)
SQCD,Aeropuerto Caño Delgado
SQEO,Aeropuerto El Olvido
SQKM,Aeropuerto Kumarakapay
SKQJ,Aeropuerto El Quijano
SKQW,Aeropuerto Quimarí
SKVY,Aeropuerto Venadillo
SQBN,Aeropuerto Buena Noche
